unique_id,category,variation,nice_name,artist,mafia_name,twitter,instagram,filename paste,file,inches,inch_variance,radius_max,serving_min,serving_max,pie_count,layer
5052,topping-fruit,watermelon,Watermelon,TDogNasty,,,,5052-topping-fruit-watermelon,Y,3,,,,,,
5053,topping-fruit,watermelon,Watermelon,TDogNasty,,,,5053-topping-fruit-watermelon,Y,3,,,,,,
5054,topping-fruit,watermelon,Waterfelon,TDogNasty,,,,5054-topping-fruit-watermelon,Y,3,,,,,,
5060,topping-fruit,kiwi,Kiwi,Pajke,,,,5060-topping-fruit-kiwi,Y,2,,,,,,
5070,topping-fruit,orange,Orange,Nika Kotláriková,,,,5070-topping-fruit-orange,N,,,,,,,
5080,topping-fruit,peach,Peaches,cherleela,,,,5080-topping-fruit-peach,Y,4,,,,,,
5081,topping-fruit,peach,Peaches,cherleela,,,,5081-topping-fruit-peach,Y,2.5,,,,,,
5082,topping-fruit,peach,Peaches,cherleela,,,,5082-topping-fruit-peach,Y,2.5,,,,,,
5083,topping-fruit,peach,Peaches,cherleela,,,,5083-topping-fruit-peach,Y,2.5,,,,,,
5090,topping-fruit,strawberry,Strawberries,Kierstin,,,,5090-topping-fruit-strawberry,Y,1.5,,,,,,
5091,topping-fruit,strawberry,Strawberries,Kierstin,,,,5091-topping-fruit-strawberry,Y,1.5,,,,,,
5100,topping-fruit,apple,Apples,danscher,,,,5100-topping-fruit-apple,Y,2.5,,,,,,
5101,topping-fruit,apple,Apples,danscher,,,,5101-topping-fruit-apple,Y,2.5,,,,,,
5102,topping-fruit,apple,Apples,danscher ,,,,5102-topping-fruit-apple,Y,2.5,,,,,,
5103,topping-fruit,apple,Apples,danscher,,,,5103-topping-fruit-apple,Y,2.5,,,,,,
5104,topping-fruit,apple,Apples,danscher,,,,5104-topping-fruit-apple,Y,2.5,,,,,,
5105,topping-fruit,apple,Apples,danscher,,,,5105-topping-fruit-apple,Y,2.5,,,,,,
5106,topping-fruit,apple,Apples,danscher,,,,5106-topping-fruit-apple,Y,2.5,,,,,,
5110,topping-fruit,cherry,Cherry,sooscape,,,,5110-topping-fruit-cherry,Y,2,,,,,,
5111,topping-fruit,cherry,Cherry,sooscape,,,,5111-topping-fruit-cherry,Y,2,,,,,,
5112,topping-fruit,cherry,Cherry,sooscape,,,,5112-topping-fruit-cherry,Y,2,,,,,,
5113,topping-fruit,cherry,Cherry,sooscape,,,,5113-topping-fruit-cherry,Y,2,,,,,,
5114,topping-fruit,cherry,Cherry,sooscape,,,,5114-topping-fruit-cherry,Y,2,,,,,,
5115,topping-fruit,cherry,Cherry,sooscape,,,,5115-topping-fruit-cherry,Y,2,,,,,,
5120,topping-fruit,blackberry,Black Berries,simone leonelli,,,,5120-topping-fruit-blackberry,Y,1,,,,,,
5121,topping-fruit,blackberry,Black Berries,simone leonelli,,,,5121-topping-fruit-blackberry,Y,1,,,,,,
